Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-14,148.02423095703125,141.85299682617188,125.20013427734375,268.974853515625,255.4566650390625,151.46391244119621,147.4499969482422,129.63155790630353,277.69288407504706,266.8999938964844,147.51320336208943,140.88400268554688,124.52816937594511,268.3716011123797,252.01333618164062,148.83992865134607,145.9810028076172,129.47350918903174,272.76952967592877,260.2033386230469,108732100,74086000,38812000,30660700,71152200
2022-03-15,152.41720581054688,147.3665008544922,128.42776489257812,279.3955993652344,267.2966613769531,152.88894438184133,147.98500061035156,129.08036041319235,280.04751929281093,268.5233459472656,147.78838542286357,142.0,124.97099561794094,271.2029954236296,252.19000244140625,148.29941304803273,142.85000610351562,126.21901155597463,272.77924308637034,258.42333984375,92964300,75584000,30920000,34245100,66841200
2022-03-16,156.83966064453125,153.10400390625,132.48594665527344,286.4400634765625,280.07666015625,157.24259840193366,153.14999389648438,132.53812396756078,286.61519548142235,280.6666564941406,151.79808003042874,147.35350036621094,127.9670425512533,275.5522451059325,267.4200134277344,154.34344099306256,148.5,129.95363304530028,281.30262045302413,269.6666564941406,102300200,84958000,35576000,37826300,84028800
2022-03-17,157.8518829345703,157.23899841308594,133.04110717773438,287.2476501464844,290.5333251953125,158.22533884354678,157.49850463867188,133.2811682958072,287.62710284183214,291.6666564941406,154.9134219533723,152.13999938964844,131.3969607813396,281.55562216860625,275.239990234375,155.8765285127207,152.6405029296875,132.35521826895487,285.36977649759285,276.9966735839844,75615400,72934000,28264000,30816600,66582900
2022-03-18,161.15399169921875,161.25050354003906,135.31399536132812,292.31695556640625,301.7966613769531,161.64537478221072,161.593994140625,135.4317886843843,292.87156998483414,302.6166687011719,157.00671727910074,156.01100158691406,131.47004399956197,284.8249099642647,289.1300048828125,157.7437919035887,156.81300354003906,132.6290932889434,287.3936019813405,291.4966735839844,123511700,102962000,44566000,43390600,100414200
2022-03-21,162.5298614501953,161.4915008544922,135.2901153564453,291.0812683105469,307.0533447265625,163.48314576119236,163.08399963378906,136.23296233262303,292.03481436405224,314.2833251953125,160.20069560988745,159.55299377441406,133.29308959145584,286.9362989616563,302.36334228515625,160.6920786569655,161.12100219726562,135.35174221676303,290.818570277496,304.99334716796875,95811400,66538000,26832000,28351200,81981600
2022-03-22,165.91055297851562,164.88900756835938,139.03416442871094,295.8489074707031,331.32666015625,166.50020354427738,166.16700744628906,140.20912465713957,296.7635253012063,332.6199951171875,162.06793455898944,161.69900512695312,135.29012387121904,290.70175473409813,307.25,162.6575851247512,161.8054962158203,135.29012387121904,291.70393856622957,310.0,81532000,64086000,35496000,27599700,105868500
2022-03-23,167.276611328125,163.4080047607422,137.45115661621094,291.4023132324219,333.03668212890625,169.66472556538113,166.3699951171875,138.75633257699457,295.04133535066865,346.8999938964844,164.76071771343146,162.68699645996094,137.01329191544855,289.6801224754743,325.4666748046875,165.0948695579846,163.7050018310547,137.87561296185783,292.39478730715103,326.64666748046875,98062700,55812000,25154000,25715400,120676200
2022-03-24,171.07008361816406,163.64950561523438,140.72801208496094,295.8878173828125,337.97332763671875,171.13886943985568,164.11849975585938,140.77472897804753,295.9851228320078,341.4966735839844,167.2766062849375,160.0500030517578,136.92929162847878,290.26390686339175,329.6000061035156,168.11194838158724,163.74949645996094,138.37014375246187,291.0617699759575,336.57666015625,90131400,56798000,26396000,24484500,68920800
2022-03-25,171.7089080810547,164.77349853515625,140.82838439941406,295.4792175292969,336.8800048828125,172.25925474224047,165.36849975585938,141.18822575870797,297.2500761733561,340.6000061035156,169.77285750778353,162.25,138.90442228427176,291.2077834301225,332.44000244140625,170.88338808927602,164.0,141.06993193131237,296.98737812137597,336.0,80546200,49032000,24126000,22566500,62031600
