Date,AAPL_Close,AMZN_Close,GOOGL_Close,MSFT_Close,TSLA_Close,AAPL_High,AMZN_High,GOOGL_High,MSFT_High,TSLA_High,AAPL_Low,AMZN_Low,GOOGL_Low,MSFT_Low,TSLA_Low,AAPL_Open,AMZN_Open,GOOGL_Open,MSFT_Open,TSLA_Open,AAPL_Volume,AMZN_Volume,GOOGL_Volume,MSFT_Volume,TSLA_Volume
2023-10-05,173.4099578857422,125.95999908447266,134.26475524902344,315.1358947753906,260.04998779296875,173.9453201351637,126.7300033569336,134.68224949867667,315.74771949407113,263.6000061035156,171.19907169783187,124.33000183105469,132.6544029514237,310.73489445489207,256.25,172.29955283135268,126.70999908447266,134.26475524902344,314.86947683543065,260.0,48527900,39660600,19832600,16965600,119159200
2023-10-06,175.9678497314453,127.95999908447266,136.7598114013672,322.931396484375,260.5299987792969,176.46356172729125,128.4499969482422,137.33635552094708,324.83586147061334,261.6499938964844,171.69479961979252,124.12999725341797,133.21108686390718,312.1163408848103,250.64999389648438,172.30949278163357,124.16000366210938,133.21108686390718,312.3630341767249,253.97999572753906,57224100,46795900,27583200,25645500,117947000
2023-10-09,177.45497131347656,128.25999450683594,137.5948028564453,325.4575500488281,259.6700134277344,177.51445432768062,128.7899932861328,138.11170710655549,325.9311819206421,261.3599853515625,174.2923266162491,124.76000213623047,134.8015571895158,318.9053614253998,252.0500030517578,175.29365932051672,126.22000122070312,136.12363017147987,320.45460260529177,255.30999755859375,42390800,38773700,19278100,19891200,101377900
2023-10-10,176.86009216308594,129.47999572753906,137.2369384765625,324.0465087890625,263.6199951171875,178.17868764053543,130.74000549316406,138.88704585361853,326.720656085552,268.94000244140625,176.42386326793854,128.0500030517578,136.51129469472835,323.3360307858184,257.6499938964844,176.57258591560793,128.82000732421875,137.67431779749998,326.58249336445317,257.75,43698000,42178600,27786600,20557100,122656000
2023-10-11,178.25802612304688,131.8300018310547,139.71212768554688,328.0231628417969,262.989990234375,178.30760034526705,132.0500030517578,140.26878687239181,328.41786610195646,268.6000061035156,176.07689649671707,129.61000061035156,137.75387043822255,324.7865479262028,260.8999938964844,176.67174177957318,129.74000549316406,137.75387043822255,326.82914557885897,266.20001220703125,47551100,40741800,25884300,20063200,103706300
2023-10-12,179.16021728515625,132.3300018310547,138.14154052734375,326.77984619140625,258.8699951171875,180.7762279340573,134.47999572753906,140.3781272975554,329.2171774212292,265.4100036621094,177.50452608120557,131.22999572753906,137.4357664726785,324.37211695571347,256.6300048828125,178.52570660256114,132.1699981689453,140.20914256172284,326.197653564225,262.9200134277344,56743100,55528600,24765500,19313100,111508100
2023-10-13,177.31617736816406,129.7899932861328,136.54112243652344,323.39520263671875,251.1199951171875,180.3697497847248,133.30999755859375,139.16538334430308,329.41449526956706,259.6000061035156,176.61225971587282,128.9499969482422,135.80552852128724,322.04329801120366,250.22000122070312,179.8641290223829,132.97999572753906,138.5490843574817,327.9836921494348,258.8999938964844,51427100,45786600,23420500,21072400,102073800
2023-10-16,177.1873016357422,132.5500030517578,138.27073669433594,328.2402648925781,253.9199981689453,177.54421488719547,133.07000732421875,138.79757579171124,331.69397123136065,255.39999389648438,174.99624790055657,130.42999267578125,137.16735354990777,326.2272390517875,248.47999572753906,175.2341951108354,130.69000244140625,137.34627316736155,326.6712689412733,250.0500030517578,52517000,42832900,28501900,22158000,88917200
2023-10-17,175.63075256347656,131.47000122070312,138.88705444335938,327.66796875,254.85000610351562,176.88986525789463,132.5800018310547,139.06597408508733,329.0494454701595,257.17999267578125,173.3009152798367,128.7100067138672,136.36218826827314,323.0794785194293,247.0800018310547,175.1350405719026,130.38999938964844,137.80355616536733,325.23063727753015,250.10000610351562,57549400,49344600,23515800,18338500,93562900
2023-10-18,174.33200073242188,128.1300048828125,137.1375274658203,325.74371337890625,242.67999267578125,176.0570840196497,130.6699981689453,139.88106765186672,331.15124180050987,254.6300048828125,173.60826541418712,127.51000213623047,136.5609834446138,323.95765614917667,242.0800018310547,174.07423592634754,129.89999389648438,138.61863479219352,328.0922386062229,252.6999969482422,54764400,42699500,23375000,23153600,125147800
